No. segment,IEMG,WL,MWL,Variance,DASDV
1,9.7214765100671,0.0134228187919463,0.0268456375838926,5.65224678147017e-06,0.000354214640247825
1,9.82550335570469,0.0167785234899329,0.0335570469798658,6.44905578420707e-06,0.000396024007109885
1,9.85234899328859,0.0134228187919463,0.0268456375838926,6.62749917814969e-06,0.000354214640247825
1,10.003355704698,0.0134228187919463,0.0268456375838926,5.85508673317838e-06,0.000354214640247825
1,10.496644295302,0.0100671140939597,0.0201342281879195,2.42013853034662e-06,0.000306758876846983
1,10.8221476510067,0.0201342281879195,0.0402684563758389,3.5876009499936e-06,0.000433822564015341
1,11.8187919463087,0.0369127516778524,0.0738255033557047,3.04604964593554e-05,0.000587398528476378
1,18.4798657718121,0.10738255033557,0.214765100671141,0.00102071982573441,0.00100187029645916
1,26.4026845637584,0.167785234899329,0.335570469798658,0.00161874088361628,0.00125233787057395
1,31.3020134228188,0.177852348993289,0.355704697986577,0.00103985239050926,0.00128936075269807
1,33.5268456375839,0.221476510067114,0.442953020134228,0.000616643821729975,0.00143882667042882
1,31.755033557047,0.191275167785235,0.38255033557047,0.00049991256622219,0.00133713094421004
1,27.4026845637584,0.144295302013423,0.288590604026846,0.000142089386171593,0.00116137036391643
1,27.2046979865772,0.134228187919463,0.268456375838926,0.000129541452337679,0.00112012504376028
1,27.7818791946309,0.0906040268456376,0.181208053691275,8.27774333680865e-05,0.000920276630540947
1,25.255033557047,0.0771812080536913,0.154362416107383,0.000130197806872137,0.000849376868859697
1,24.8456375838926,0.0838926174496644,0.167785234899329,0.000132004894758059,0.000885536600619563
1,23.2348993288591,0.0738255033557047,0.147651006711409,5.80415020578636e-05,0.000830706965489293
1,22.265100671141,0.0671140939597315,0.134228187919463,3.47629165518808e-05,0.00079204801421977
1,22.261744966443,0.0402684563758389,0.0805369127516778,2.82968703078013e-05,0.000613517753693965
1,21.2818791946309,0.0402684563758389,0.0805369127516779,3.52282808912595e-05,0.000613517753693965
1,20.8758389261745,0.0503355704697987,0.100671140939597,2.5616298523307e-05,0.000685933701331339
1,20.3456375838926,0.0436241610738255,0.087248322147651,1.73138013934227e-05,0.000638569523966782
1,20.1677852348993,0.0469798657718121,0.0939597315436242,2.35374504099883e-05,0.000662674912593375
1,19.3489932885906,0.0369127516778524,0.0738255033557047,4.19659131016081e-05,0.000587398528476378
1,18.0469798657718,0.023489932885906,0.0469798657718121,2.2793006875884e-05,0.000468581924416978
1,17.4228187919463,0.0201342281879195,0.0402684563758389,1.23530227634801e-05,0.000433822564015341
1,16.9765100671141,0.0201342281879195,0.0402684563758389,6.52424946046315e-06,0.000433822564015341
1,15.9563758389262,0.0201342281879195,0.0402684563758389,4.06320313057745e-05,0.00043382256401534
1,15.010067114094,0.0335570469798658,0.0671140939597315,5.26957805986054e-05,0.000560062521880138
1,15.3758389261745,0.0604026845637584,0.120805369127517,7.66396950870811e-05,0.000751402722344372
1,14.4463087248322,0.0604026845637584,0.120805369127517,6.97092429398209e-05,0.000751402722344372
1,14.7080536912752,0.0570469798657718,0.114093959731544,6.20431474453645e-05,0.000730232187940972
1,14.4026845637584,0.0503355704697987,0.100671140939597,6.70570757190107e-05,0.000685933701331339
1,12.9395973154363,0.0302013422818792,0.0604026845637584,7.71488860998744e-06,0.000531321960371738
1,13.6543624161074,0.0369127516778523,0.0738255033557047,2.56581211937623e-05,0.000587398528476378
1,13.5503355704698,0.0436241610738255,0.087248322147651,2.71355941581591e-05,0.000638569523966782
1,13.6040268456376,0.0369127516778523,0.0738255033557047,2.52647266997921e-05,0.000587398528476378
