No. segment,MAV,WL,MWL,SCC,ZC,IEMG,SSI,Mean,Variance,SD,RMS,WAMP,AAC,Skewness,Kurtosis,DASDV,MMAV1,MMAV2,MAX,RSSL
1,0.0487268518518518,0.0347222222222222,0.0694444444444445,0,0,17.5416666666667,0.859350887345678,0.0487268518518518,1.28153048591767e-05,0.00357984704410352,0.0488578120486626,0,9.67192819560508e-05,-0.616403393361089,2.08591761929248,0.000579509137223199,0.0366849922839506,0.0228941750121661,0.0520833333333333,0.927011805397147
1,0.0489776234567902,0.0277777777777778,0.0555555555555556,0,0,17.6319444444445,0.866874035493827,0.0489776234567902,9.20139187405191e-06,0.00303337961258592,0.0490712077691929,0,7.73754255648406e-05,-0.356387792021993,1.76286696120883,0.000518328729765331,0.0367380401234568,0.0237947010425536,0.0520833333333333,0.931060704515998
1,0.0464988425925926,0.03125,0.0625,0,0,16.7395833333333,0.783769772376543,0.0464988425925926,1.50376654437051e-05,0.00387784288538165,0.0466598141509534,0,8.70473537604457e-05,-0.249836396847454,2.45955920532529,0.000549770639551312,0.0355565200617284,0.0238562442806674,0.0520833333333333,0.88530772750301
1,0.0738425925925926,0.215277777777778,0.159722222222223,0,0,26.5833333333333,3.12979841820988,0.0738425925925926,0.00325018430396506,0.0570103876847462,0.0932410022202005,0,0.000599659548127515,1.87928796302386,4.99097713274955,0.00144296611490918,0.0480565200617284,0.0114744018864799,0.236111111111111,1.7691236299959
1,0.146807484567901,0.524305555555556,0.354166666666668,0,0,52.8506944444444,14.3967616705247,0.146807484567901,0.0184899280263762,0.135977674735142,0.199977510336403,0,0.00146046115753637,1.19934814737399,3.50420124448602,0.00267454611002807,0.0981481481481481,0.012979692887017,0.552083333333333,3.7943064808374
1,0.267390046296296,0.777777777777778,0.510416666666669,0,0,96.2604166666667,39.7007499035494,0.267390046296296,0.0388904530210268,0.197206625195572,0.332084117119733,0,0.00216651191581554,0.317958927964178,1.66191803020414,0.00317410226737503,0.196084104938272,0.0457128999983419,0.621527777777778,6.30085310918683
1,0.350559413580247,0.913194444444444,0.708333333333336,0,0,126.201388888889,52.3227719907407,0.350559413580247,0.0225116632558194,0.150038872482498,0.381236190973015,0,0.00254371711544413,-0.131938921990123,2.14562382009024,0.00337411699267282,0.284620949074074,0.182616253593271,0.621527777777778,7.23344813976991
1,0.385185185185185,0.909722222222222,0.833333333333336,0,0,138.666666666667,57.707634066358,0.385185185185185,0.0119645916082052,0.109382775646832,0.400373554967934,0,0.00253404518724853,0.482659253757021,2.14338683076435,0.00336913674347465,0.306303047839506,0.235532777289606,0.621527777777778,7.59655409158376
1,0.35985725308642,0.788194444444444,0.694444444444447,0,0,129.548611111111,51.8383728780864,0.35985725308642,0.014538622681006,0.12057621109077,0.379467363836347,0,0.00219552770040235,0.441174345868407,2.38656479252482,0.00284491181708972,0.264110725308642,0.187868864554766,0.621527777777778,7.199887004536
1,0.267872299382716,0.552083333333333,0.569444444444446,0,0,96.4340277777777,28.6742500964506,0.267872299382716,0.00791711793002946,0.0889781879453018,0.282224546615568,0,0.00153783658310121,0.155855154415792,1.68529303551185,0.00231078133063046,0.201326195987654,0.153961039438432,0.434027777777778,5.35483427348136
